registrySchemaVersion	2
id	title	subject	category	topic	environmentFamily	executorKind	inputs	outputs	widget	widgetSizes	compact	offlinePolicy	liveDataPolicy	historyPolicy	schemaVersion	aliases
geometry-prism-volume	Prism Volume	GEOMETRY	Geometry	Prism	GeometryTool	FORMULA	V:NUMBER[m³];B:NUMBER[m²];h:NUMBER[m]	V:NUMBER;B:NUMBER;h:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
geometry-rectangle-area	Rectangle Area	GEOMETRY	Geometry	Rectangle	GeometryTool	FORMULA	A:NUMBER[m²];w:NUMBER[m];h:NUMBER[m]	A:NUMBER;w:NUMBER;h:NUMBER	true	LARGE,MEDIUM	true	OFFLINE_FULL	NONE	SAVE	1	
geometry-rectangle-perimeter	Rectangle Perimeter	GEOMETRY	Geometry	Rectangle	GeometryTool	FORMULA	P:NUMBER[m];w:NUMBER[m];h:NUMBER[m]	P:NUMBER;w:NUMBER;h:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
geometry-regular-polygon	Regular Polygon	GEOMETRY	Geometry	Polygon	GeometryTool	FORMULA	n:INTEGER;s:NUMBER[m];P:NUMBER[m];A:NUMBER[m²]	P:NUMBER;A:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
geometry-rhombus-area	Rhombus Area	GEOMETRY	Geometry	Rhombus	GeometryTool	FORMULA	A:NUMBER[m²];d1:NUMBER[m];d2:NUMBER[m]	A:NUMBER;d1:NUMBER;d2:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
geometry-right-triangle	Right Triangle	GEOMETRY	Geometry	Triangle	GeometryTool	FORMULA	a:NUMBER[m];b:NUMBER[m];c:NUMBER[m]	c:NUMBER;a:NUMBER;b:NUMBER	true	LARGE,MEDIUM	true	OFFLINE_FULL	NONE	SAVE	1	pythagoras|pythagorean theorem
geometry-sector-area	Sector Area	GEOMETRY	Geometry	Circle	GeometryTool	FORMULA	A:NUMBER[m²];theta:NUMBER[°];r:NUMBER[m]	A:NUMBER;theta:NUMBER;r:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
geometry-sphere-volume	Sphere Volume	GEOMETRY	Geometry	Sphere	GeometryTool	FORMULA	V:NUMBER[m³];r:NUMBER[m]	V:NUMBER;r:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
geometry-square	Square	GEOMETRY	Geometry	Square	GeometryTool	FORMULA	A:NUMBER[m²];s:NUMBER[m]	A:NUMBER;s:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
geometry-trapezoid-area	Trapezoid Area	GEOMETRY	Geometry	Trapezoid	GeometryTool	FORMULA	A:NUMBER[m²];a:NUMBER[m];b:NUMBER[m];h:NUMBER[m]	A:NUMBER;h:NUMBER;a:NUMBER;b:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
geometry-triangle-area	Triangle Area	GEOMETRY	Geometry	Triangle	GeometryTool	FORMULA	A:NUMBER[m²];b:NUMBER[m];h:NUMBER[m]	A:NUMBER;b:NUMBER;h:NUMBER	true	LARGE,MEDIUM	true	OFFLINE_FULL	NONE	SAVE	1	
graph-circle	Circle Graph	MATH	Graphing	Circle	GraphTool	GRAPH	h:NUMBER;k:NUMBER;r:NUMBER	graph:GRAPH	true	LARGE,MEDIUM,SMALL	true	OFFLINE_FULL	NONE	SAVE	1	circle
graph-ellipse	Ellipse Graph	MATH	Graphing	Ellipse	GraphTool	GRAPH	h:NUMBER;k:NUMBER;a:NUMBER;b:NUMBER	graph:GRAPH	true	LARGE,MEDIUM,SMALL	true	OFFLINE_FULL	NONE	SAVE	1	ellipse
graph-functions	Graph	MATH	Graphing	Functions and conics	GraphTool	GRAPH	expressions:TEXT	graph:GRAPH	true	LARGE,MEDIUM,SMALL	false	OFFLINE_FULL	NONE	SAVE	1	function graph|graphing calculator
